,a,v,t,2bk_a,2bk_v,2bk_t,0bk_a,0bk_v,0bk_t
120212,1.74078753754,2.08962097975,0.34946030201,1.74152971565,2.0734173412,0.444083387323,1.62289702668,2.25742088741,0.310822375161
120515,1.34391261142,0.440542828944,0.619323848789,1.43188613435,0.346701371293,0.651003728167,1.17195980801,0.591442791655,0.636620514824
121315,1.06582132017,0.876609633993,0.706668885214,0.965616275147,1.00391903299,0.703481029388,1.11854796751,0.802774328222,0.733921798959
122317,1.82859442786,1.98927991046,0.605997178803,1.5925604284,1.81492124654,0.799081225222,1.82988676804,2.38782416965,0.533808924594
122620,1.6576494779,1.63366878052,0.48541125119,1.54122163705,1.42563828882,0.651653410782,1.67703426192,2.18454788272,0.42183906135
123117,1.50742846205,1.29088059436,0.433835837905,1.35506124755,1.62149466034,0.517280943199,1.607938392,1.07877333113,0.371433970832
123420,1.34122765939,1.63821895705,0.366918431778,1.21259578519,1.14324524137,0.48548916215,1.69692978302,2.57491376261,0.285700834925
123925,1.37983227757,2.35187506913,0.399991434491,1.27850628513,2.30303050788,0.45300241256,1.4912406897,2.45672054915,0.352339478678
124220,1.73226642138,1.85043868828,0.576133527048,1.58386157713,1.82488911886,0.749580176339,1.75419967529,2.07364430114,0.483163330299
124422,1.55100819217,1.30385070695,0.362377261211,1.47697187821,0.871955862737,0.504033903421,1.71708762931,2.13359037919,0.311956537083
124826,2.01098017341,2.51431907295,0.439359102755,1.85102293147,2.34670535303,0.5535197853,1.60380626578,2.72442373228,0.446219841479
125525,1.24211928376,1.01530604561,0.596886318524,1.37346486408,1.0595736889,0.518113695348,1.08535347661,1.01221612345,0.687902996402
126325,1.43074542572,1.8833729134,0.350028346261,1.42409670849,2.06758358586,0.423894046474,1.40870352749,1.76396708129,0.288964242546
126628,1.32183974312,1.87988495785,0.54195821318,1.42989015198,1.73783045246,0.563808181755,1.06199292089,2.3398523671,0.574949552921
127630,1.41892723239,1.77056692311,0.439568386297,1.32508538,1.65817585078,0.52054550507,1.5058532539,1.95532929356,0.376732008153
127933,1.579184873,1.86453089154,0.557314936626,1.71523670021,2.54743141395,0.714906465446,1.44797694809,1.51744444567,0.440422818742
128127,1.65534917272,1.63593895822,0.321082449652,1.86458932211,1.57913538614,0.356102683022,1.18355326638,2.12268065608,0.399787461931
128329,1.66671167399,1.38151374886,0.403914031566,1.54432201422,0.96357951368,0.649692914383,1.49802906392,2.89968033763,0.440416534552
128632,1.553455255,1.59059644612,0.594693293122,1.37751197751,1.55357354305,0.866673903669,1.32745207834,2.19802340115,0.543167971062
129028,1.8352905548,2.76190829238,0.536365179053,1.55427471387,2.81124553689,0.690197165071,1.5759322804,2.77261142932,0.492108526391
130013,1.66464634432,1.76085074311,0.302717496879,1.63977142342,1.32277808321,0.343550294149,1.6034094858,2.72509791864,0.345586821092
130316,1.65685026136,1.76913618615,0.309647282003,1.50457132895,1.65157118308,0.545496156232,1.40031872849,2.61623412698,0.291247167412
130922,2.19990896227,1.65945877938,0.259436477593,1.85883768555,1.56967483216,0.630836202872,2.02173088828,2.16124108198,0.179693594593
