Subject,Group,ACC,RT,Condition
36,TD,1,1411,Control
36,TD,1,1375,Control
36,TD,1,1239,Control
36,TD,1,2720,Add
36,TD,1,3931,Add
36,TD,1,2535,Add
36,TD,1,3748,Add
36,TD,1,3991,Add
36,TD,1,4824,Add
36,TD,1,4244,Add
36,TD,0,0,Add
36,TD,1,1772,Control
36,TD,1,2125,Control
36,TD,1,1571,Control
36,TD,1,1740,Control
36,TD,1,1895,Control
48,TD,1,2820,Add
48,TD,1,1694,Add
48,TD,1,1490,Add
48,TD,1,1626,Add
48,TD,1,1879,Add
48,TD,1,1750,Control
48,TD,1,986,Control
48,TD,0,1869,Control
48,TD,1,2959,Control
48,TD,1,3380,Add
48,TD,1,1686,Add
48,TD,1,3074,Add
48,TD,1,3785,Add
48,TD,1,2267,Add
48,TD,1,2120,Add
48,TD,1,2749,Add
48,TD,1,3671,Add
48,TD,1,4573,Add
48,TD,1,1610,Add
48,TD,1,1599,Control
48,TD,1,1477,Control
48,TD,1,1335,Control
48,TD,1,4217,Control
48,TD,1,1051,Control
48,TD,1,1839,Add
48,TD,1,2430,Add
48,TD,1,1699,Add
48,TD,1,2714,Add
48,TD,1,2742,Add
48,TD,1,4361,Add
48,TD,1,1963,Add
48,TD,1,3832,Add
48,TD,1,2682,Add
48,TD,1,2646,Add
48,TD,1,1867,Add
48,TD,1,1234,Add
48,TD,1,1801,Add
48,TD,1,2000,Control
48,TD,1,714,Control
48,TD,1,1126,Control
48,TD,1,1064,Control
48,TD,1,1050,Control
48,TD,1,3497,Add
48,TD,1,1771,Add
48,TD,1,4525,Add
48,TD,1,2412,Add
48,TD,0,2496,Add
48,TD,1,3253,Add
48,TD,1,1706,Add
48,TD,0,2592,Add
48,TD,1,2868,Control
48,TD,1,1396,Control
48,TD,1,2514,Control
48,TD,0,2544,Control
62,TD,0,0,Add
62,TD,0,307,Add
