Subject,ACC,RT,Difficulty,Condition
274,0,0,Complex,Addition
274,1,4397,Complex,Addition
274,0,3002,Complex,Addition
274,1,2869,Simple,Addition
274,1,3366,Simple,Addition
274,0,0,Simple,Addition
274,1,1918,Simple,Addition
286,1,3126,Simple,Addition
286,1,1859,Simple,Addition
286,1,2577,Simple,Addition
286,1,2015,Simple,Addition
286,1,3402,Complex,Addition
286,0,0,Complex,Addition
286,1,4149,Complex,Addition
286,1,1877,Complex,Addition
286,1,2582,Complex,Addition
286,1,3428,Complex,Addition
286,1,3114,Complex,Addition
286,1,3741,Complex,Addition
286,1,1514,Complex,Addition
286,1,4489,Simple,Addition
286,1,3231,Simple,Addition
286,1,3795,Simple,Addition
286,1,3154,Simple,Addition
286,1,2665,Simple,Addition
286,1,1629,Simple,Addition
286,1,3321,Simple,Addition
286,1,4968,Simple,Addition
286,1,1879,Simple,Addition
286,1,1513,Simple,Addition
286,1,1662,Complex,Addition
286,1,1455,Complex,Addition
286,1,4041,Complex,Addition
286,0,2340,Complex,Addition
286,1,3570,Complex,Addition
286,1,4061,Complex,Addition
286,0,0,Complex,Addition
286,0,0,Complex,Addition
286,1,4278,Complex,Addition
286,1,2327,Simple,Addition
286,0,0,Simple,Addition
286,1,3521,Simple,Addition
286,1,2180,Simple,Addition
317,1,2952,Complex,Addition
317,1,2285,Complex,Addition
317,1,2479,Complex,Addition
317,1,3678,Complex,Addition
317,1,2415,Complex,Addition
317,1,1919,Simple,Addition
317,1,2073,Simple,Addition
317,1,1637,Simple,Addition
317,1,1451,Simple,Addition
317,1,2398,Simple,Addition
317,1,1140,Simple,Addition
317,1,2139,Simple,Addition
317,1,1642,Simple,Addition
317,1,2432,Simple,Addition
317,1,1681,Simple,Addition
317,1,1763,Complex,Addition
317,1,2250,Complex,Addition
317,1,4542,Complex,Addition
317,1,3663,Complex,Addition
317,1,1460,Complex,Addition
317,1,2134,Complex,Addition
317,1,2217,Complex,Addition
317,1,1293,Complex,Addition
317,1,3697,Complex,Addition
317,1,1522,Simple,Addition
317,1,1220,Simple,Addition
317,1,1001,Simple,Addition
317,1,1482,Simple,Addition
317,1,1896,Complex,Addition
317,1,3382,Complex,Addition
317,1,2860,Complex,Addition
317,1,2946,Complex,Addition
317,1,1488,Simple,Addition
317,1,1317,Simple,Addition
317,1,1482,Simple,Addition
317,1,1860,Simple,Addition
320,1,4558,Simple,Addition
320,1,2668,Simple,Addition
320,1,2096,Simple,Addition
320,1,1906,Simple,Addition
320,1,2671,Simple,Addition
320,0,0,Complex,Addition
320,0,0,Complex,Addition
320,1,4890,Complex,Addition
320,0,0,Complex,Addition
320,1,3714,Complex,Addition
320,0,0,Complex,Addition
320,0,0,Complex,Addition
320,1,3740,Complex,Addition
320,1,2265,Complex,Addition
320,1,2355,Simple,Addition
320,1,3786,Simple,Addition
320,0,0,Simple,Addition
320,0,0,Simple,Addition
320,1,4780,Complex,Addition
320,1,2551,Complex,Addition
320,1,2387,Complex,Addition
320,0,0,Complex,Addition
320,1,2911,Simple,Addition
320,1,3790,Simple,Addition
320,1,3063,Simple,Addition
320,0,0,Simple,Addition
320,0,0,Complex,Addition
320,0,0,Complex,Addition
320,0,0,Complex,Addition
320,0,0,Complex,Addition
320,1,4790,Complex,Addition
320,1,4746,Simple,Addition
320,1,2738,Simple,Addition
320,1,2159,Simple,Addition
320,1,3949,Simple,Addition
320,1,4321,Simple,Addition
334,1,2766,Complex,Addition
334,1,2462,Complex,Addition
334,1,1217,Complex,Addition
334,1,2376,Complex,Addition
334,1,3367,Simple,Addition
