,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a_subj(Sub.TD).238,3.2533029627890238,0.19356915072515593,2.8896338261822518,3.1209465827351961,3.2465111158937376,3.3801052614802067,3.6508768058266705,0.0030810674140718821
a_subj(Sub.TD).242,3.2398553848647209,0.33100687517551441,2.6597108441940778,3.0030658716249325,3.2199862802083459,3.4534602487357371,3.9251755752590469,0.0093027451545234247
a_subj(Sub.TD).244,3.8722035604775615,0.49332909073969899,3.0199707579893422,3.5220605387632764,3.8274218658040318,4.175014436029425,4.9408518340085639,0.015735698141459326
a_subj(Sub.TD).274,2.5890748666022079,0.12373373480564669,2.3584331977551378,2.5016282410569892,2.5865597647295786,2.6726282808156485,2.8394679401990093,0.0018631738185657936
a_subj(Sub.TD).305,2.9811655926794831,0.29573624922301378,2.4587737371947118,2.7709709235940081,2.9636170282683669,3.1713230424652812,3.6104258981624229,0.0078921568260299502
a_subj(Sub.TD).317,2.6022380789401622,0.31153175036589859,2.0560199175355249,2.3768607168876414,2.5862466330091758,2.7972991210123315,3.2700386222181557,0.0087530438883613223
a_subj(Sub.TD).320,3.6788325722807738,0.32765533332407848,3.0866853706204154,3.4477095856671567,3.6619921388340222,3.8881528666880314,4.3714896207016301,0.0078566612311213417
a_subj(Sub.TD).358,3.2148967014425724,0.20206155179604032,2.8455247771500187,3.0756943062946673,3.2092987615920294,3.3461346195909956,3.6515391953979339,0.0030026705540191971
a_subj(Sub.TD).465,3.0716481716199922,0.31440966900548517,2.5258670639482341,2.8538487562150578,3.0412612446053431,3.2704278383328433,3.7151187582302199,0.0075974688794245918
v(Add.MD),0.66337832200697811,0.094788262747336982,0.47783471512394793,0.60195056427210625,0.66185502816200747,0.72502697104698133,0.84743743594098964,0.0020082058457121066
v(Add.TD),0.84164945363302612,0.083325599032987724,0.68514365028923341,0.78578551620718484,0.83797787102675436,0.89824021771782114,1.0077505891381831,0.00163427619437658
v(Control.MD),1.0980211168845937,0.10036259292260388,0.89841827587042777,1.0302285548849073,1.0975533799742303,1.1641705195514782,1.2968707406358859,0.002182132633756482
v(Control.TD),1.2965933035737789,0.088433494065044693,1.1260153033477336,1.2363812332090072,1.2962819891507984,1.3568071862638607,1.4750151553880946,0.0025302895568463583
v(Sub.MD),0.46470607860737811,0.09608669657450572,0.27759547910096066,0.39992948003685841,0.46480939236012081,0.5280818253948204,0.65478085447017043,0.0017227130199518887
v(Sub.TD),0.70893840587856516,0.080525962011097019,0.55135375142258658,0.65504824487432867,0.70774699809123998,0.76220405800352731,0.86754511105052146,0.0014683746933406769
v_std,0.33322004023239427,0.031410205677628596,0.27789801240583234,0.31110294994668131,0.33118924836132813,0.35316870527037625,0.40028855209362346,0.00091368032082692118
v_subj(Add.MD).39,1.0792116387106609,0.15474716494975582,0.77315672412585634,0.97908505014346736,1.0770445360551193,1.180556038386348,1.3875009361266453,0.0038012952060589773
v_subj(Add.MD).214,0.30651689562828932,0.12574042286062462,0.058207072588813635,0.22238213524022718,0.30631231174317342,0.39234810362505645,0.55324129009331391,0.0022055680583866729
v_subj(Add.MD).218,0.71060148652948429,0.14609175758250678,0.41771711268186484,0.61304164417616147,0.70892195791200219,0.81118068993788572,0.99872807405879849,0.0023771005310509854
v_subj(Add.MD).236,0.44314893506477793,0.1397178841874871,0.17588304010637873,0.34730672028544918,0.44333651316074696,0.53637205640455332,0.71468740113699036,0.0022435921138764386
v_subj(Add.MD).258,0.60386068793776393,0.10952535832746789,0.3886204520567611,0.52988046158459023,0.6031657247470924,0.6777661026834253,0.82132361473689031,0.0019905517988830354
v_subj(Add.MD).262,0.32943888225223061,0.10590613581338128,0.12545365550498427,0.25657540350523023,0.33034434006628299,0.40083363147575524,0.53853288403908284,0.0016945326549990323
v_subj(Add.MD).267,0.62212179208677143,0.12697390590615673,0.3731871663732918,0.53691371002496635,0.61819491006955529,0.70633663220824494,0.87946631401600195,0.0019383799819245495
v_subj(Add.MD).269,0.60176299207999717,0.13479795054574334,0.34394500133328976,0.50862379379216194,0.59994170545383063,0.69179229400002029,0.87334034181114717,0.0023436789353518386
v_subj(Add.MD).293,0.96778440545068589,0.14545091958302728,0.68997986228094843,0.86853582592325096,0.96634190124349728,1.0660328202523275,1.2612612488258859,0.0031702126782529711
v_subj(Add.MD).320,0.94027378998790989,0.16341039570461552,0.61579997186146485,0.82829366339873711,0.94308862679111627,1.0501771847887453,1.2583669083092335,0.0031316894704566654
v_subj(Add.MD).339,0.44731480473528068,0.12783761947934588,0.19801716304050981,0.36288847383267286,0.44544866884919931,0.53260478777886033,0.70070041179284992,0.002259494459313486
v_subj(Add.MD).340,0.38441183525026967,0.13175534934862659,0.12140843977197313,0.29788516846348956,0.38213959867535047,0.47330068709326156,0.64025547309440733,0.0020447190568008773
v_subj(Add.MD).346,0.4147551822777002,0.10011291688220263,0.22181064839121095,0.34679595046730793,0.41412723570986482,0.48239368688580475,0.61248110422333202,0.001576309177028036
v_subj(Add.MD).350,1.0020201061599727,0.15707612250672798,0.70240949009330778,0.89515141007521171,1.0008734857847092,1.1090135140457658,1.3069179365100096,0.0033825480375392946
v_subj(Add.MD).471,1.0625376352428759,0.15367105110765716,0.76888714958332205,0.96022558525864232,1.0595186354953174,1.1627429817260515,1.3730421505111523,0.0034189642975388642
v_subj(Add.TD).6,0.30494667352433458,0.1062515744085529,0.10108106428644234,0.231487401671439,0.30518379011715452,0.37649437315411094,0.51910013573771208,0.0017442521243344229
v_subj(Add.TD).19,0.67687235147807756,0.12658181363268517,0.42759390594424102,0.59221929372459381,0.67793849692752484,0.76246609472128624,0.91567991690176131,0.0021500379112046782
v_subj(Add.TD).23,0.84530423421316325,0.14714775968214025,0.55890882296155686,0.74805257471527509,0.84665796895513679,0.94449200038509984,1.1313110828809319,0.0025496140231505747
v_subj(Add.TD).36,0.98517148959440803,0.14621882253691126,0.70217156880559162,0.88396259985048931,0.98318481623923093,1.0819070254875545,1.2763535263611092,0.0029822059463402153
v_subj(Add.TD).48,0.9109451234468201,0.14080596215375873,0.6368732176388161,0.81801270233348777,0.90895406766538112,1.0035509792364792,1.193555893602003,0.0028677650023271775
