user_id,ACC,RT,answer,finished,n1,n2,points,problem,problem_id,solution,trial,session,exp_id,row_num
j15QeTGRQhThgAiuF84rPtnlk8c2,1,1.54,0,0,5,2,18,5 + 2 = 7,2,7,20,1476989235023,SP_verification_timed,106
j15QeTGRQhThgAiuF84rPtnlk8c2,1,2.544,1,0,6,2,19,6 + 2 = 9,3,8,21,1476989235023,SP_verification_timed,107
j15QeTGRQhThgAiuF84rPtnlk8c2,1,3.175,1,0,7,5,1,7 + 5 = 8,7,12,1,1476988461293,SP_verification,192
j15QeTGRQhThgAiuF84rPtnlk8c2,1,3.26,0,0,5,4,2,5 + 4 = 9,5,9,2,1476988461293,SP_verification,193
j15QeTGRQhThgAiuF84rPtnlk8c2,1,5.597,0,0,6,2,4,6 + 2 = 8,3,8,3,1476988461293,SP_verification,194
j15QeTGRQhThgAiuF84rPtnlk8c2,1,2.987,1,0,4,2,5,4 + 2 = 10,1,6,4,1476988461293,SP_verification,195
j15QeTGRQhThgAiuF84rPtnlk8c2,1,5.879,0,0,7,3,6,7 + 3 = 10,6,10,5,1476988461293,SP_verification,196
j15QeTGRQhThgAiuF84rPtnlk8c2,1,6.985,0,0,5,2,7,5 + 2 = 7,2,7,6,1476988461293,SP_verification,197
j15QeTGRQhThgAiuF84rPtnlk8c2,1,4.138,1,0,9,7,9,9 + 7 = 15,12,16,7,1476988461293,SP_verification,198
j15QeTGRQhThgAiuF84rPtnlk8c2,1,6.212,0,0,8,6,10,8 + 6 = 14,10,14,8,1476988461293,SP_verification,199
j15QeTGRQhThgAiuF84rPtnlk8c2,1,4.622,1,0,6,3,11,6 + 3 = 10,4,9,9,1476988461293,SP_verification,200
j15QeTGRQhThgAiuF84rPtnlk8c2,1,9.814,1,0,9,6,12,9 + 6 = 14,11,15,10,1476988461293,SP_verification,201
j15QeTGRQhThgAiuF84rPtnlk8c2,1,4.3,0,0,9,4,13,9 + 4 = 13,8,13,11,1476988461293,SP_verification,202
j15QeTGRQhThgAiuF84rPtnlk8c2,1,3.981,1,0,8,5,14,8 + 5 = 15,9,13,12,1476988461293,SP_verification,203
j15QeTGRQhThgAiuF84rPtnlk8c2,1,4.723,1,0,9,4,15,9 + 4 = 14,8,13,13,1476988461293,SP_verification,204
j15QeTGRQhThgAiuF84rPtnlk8c2,1,3.663,1,0,4,2,18,4 + 2 = 7,1,6,15,1476988461293,SP_verification,206
j15QeTGRQhThgAiuF84rPtnlk8c2,1,7.464,1,0,7,5,19,7 + 5 = 13,7,12,16,1476988461293,SP_verification,207
j15QeTGRQhThgAiuF84rPtnlk8c2,1,7.452,0,0,8,6,20,8 + 6 = 14,10,14,17,1476988461293,SP_verification,208
j15QeTGRQhThgAiuF84rPtnlk8c2,1,3.519,1,0,5,2,21,5 + 2 = 6,2,7,18,1476988461293,SP_verification,209
j15QeTGRQhThgAiuF84rPtnlk8c2,1,8.836,1,0,8,5,22,8 + 5 = 17,9,13,19,1476988461293,SP_verification,210
j15QeTGRQhThgAiuF84rPtnlk8c2,1,2.707,0,0,9,7,23,9 + 7 = 16,12,16,20,1476988461293,SP_verification,211
j15QeTGRQhThgAiuF84rPtnlk8c2,1,9.36,1,0,9,6,24,9 + 6 = 18,11,15,21,1476988461293,SP_verification,212
j15QeTGRQhThgAiuF84rPtnlk8c2,1,4.645,0,0,5,4,25,5 + 4 = 9,5,9,22,1476988461293,SP_verification,213
j15QeTGRQhThgAiuF84rPtnlk8c2,1,2.962,0,0,6,2,26,6 + 2 = 8,3,8,23,1476988461293,SP_verification,214
j15QeTGRQhThgAiuF84rPtnlk8c2,1,2.263,15,0,7,8,3,7 + 8 = ?,11,15,6,1476988696291,SP_production_timed,118
j15QeTGRQhThgAiuF84rPtnlk8c2,1,3.535,5,0,2,3,8,2 + 3 = ?,1,5,20,1476988696291,SP_production_timed,132
j15QeTGRQhThgAiuF84rPtnlk8c2,1,3.503,12,0,3,9,9,3 + 9 = ?,7,12,21,1476988696291,SP_production_timed,133
j15QeTGRQhThgAiuF84rPtnlk8c2,0,3.77,no_answer,0,3,4,9,3 + 4 = ?,2,7,25,1476988696291,SP_production_timed,137
j15QeTGRQhThgAiuF84rPtnlk8c2,1,3.083,7,0,3,4,10,3 + 4 = ?,2,7,26,1476988696291,SP_production_timed,138
j15QeTGRQhThgAiuF84rPtnlk8c2,0,3.703,no_answer,0,5,9,9,5 + 9 = ?,10,14,27,1476988696291,SP_production_timed,139
j15QeTGRQhThgAiuF84rPtnlk8c2,1,1.527,9,0,2,7,7,2 + 7 = ?,4,9,31,1476988696291,SP_production_timed,143
j15QeTGRQhThgAiuF84rPtnlk8c2,1,4.957,10,0,4,6,1,4 + 6 = ?,6,10,1,1476987718969,SP_production,168
j15QeTGRQhThgAiuF84rPtnlk8c2,1,4.51,12,0,4,8,2,4 + 8 = ?,8,12,2,1476987718969,SP_production,169
j15QeTGRQhThgAiuF84rPtnlk8c2,1,3.654,10,0,2,8,4,2 + 8 = ?,5,10,3,1476987718969,SP_production,170
j15QeTGRQhThgAiuF84rPtnlk8c2,1,5.787,14,0,5,9,5,5 + 9 = ?,10,14,4,1476987718969,SP_production,171
j15QeTGRQhThgAiuF84rPtnlk8c2,1,8.612,5,0,2,3,6,2 + 3 = ?,1,5,5,1476987718969,SP_production,172
j15QeTGRQhThgAiuF84rPtnlk8c2,1,9.003,15,0,7,8,7,7 + 8 = ?,11,15,6,1476987718969,SP_production,173
j15QeTGRQhThgAiuF84rPtnlk8c2,1,8.562,9,0,2,7,9,2 + 7 = ?,4,9,7,1476987718969,SP_production,174
j15QeTGRQhThgAiuF84rPtnlk8c2,1,9.374,7,0,3,4,11,3 + 4 = ?,2,7,9,1476987718969,SP_production,176
j15QeTGRQhThgAiuF84rPtnlk8c2,1,12.705,12,0,3,9,12,3 + 9 = ?,7,12,10,1476987718969,SP_production,177
j15QeTGRQhThgAiuF84rPtnlk8c2,1,5.96,8,0,3,5,14,3 + 5 = ?,3,8,12,1476987718969,SP_production,179
j15QeTGRQhThgAiuF84rPtnlk8c2,1,4.647,7,0,3,4,15,3 + 4 = ?,2,7,13,1476987718969,SP_production,180
j15QeTGRQhThgAiuF84rPtnlk8c2,1,5.996,12,0,3,9,16,3 + 9 = ?,7,12,14,1476987718969,SP_production,181
j15QeTGRQhThgAiuF84rPtnlk8c2,1,4.864,10,0,2,8,18,2 + 8 = ?,5,10,15,1476987718969,SP_production,182
j15QeTGRQhThgAiuF84rPtnlk8c2,1,12.062,8,0,3,5,19,3 + 5 = ?,3,8,16,1476987718969,SP_production,183
j15QeTGRQhThgAiuF84rPtnlk8c2,1,4.4,5,0,2,3,20,2 + 3 = ?,1,5,17,1476987718969,SP_production,184
j15QeTGRQhThgAiuF84rPtnlk8c2,1,6.913,12,0,4,8,21,4 + 8 = ?,8,12,18,1476987718969,SP_production,185
j15QeTGRQhThgAiuF84rPtnlk8c2,1,9.651,15,0,7,8,22,7 + 8 = ?,11,15,19,1476987718969,SP_production,186
j15QeTGRQhThgAiuF84rPtnlk8c2,1,6.329,9,0,2,7,23,2 + 7 = ?,4,9,20,1476987718969,SP_production,187
j15QeTGRQhThgAiuF84rPtnlk8c2,1,5.882,14,0,5,9,24,5 + 9 = ?,10,14,21,1476987718969,SP_production,188
j15QeTGRQhThgAiuF84rPtnlk8c2,1,11.555,16,0,9,7,1,9 + 7 = ?,12,16,1,1476989371485,VS_production,152
j15QeTGRQhThgAiuF84rPtnlk8c2,1,10.079,10,0,7,3,2,7 + 3 = ?,6,10,2,1476989371485,VS_production,153
j15QeTGRQhThgAiuF84rPtnlk8c2,1,7.192,6,0,4,2,4,4 + 2 = ?,1,6,3,1476989371485,VS_production,154
j15QeTGRQhThgAiuF84rPtnlk8c2,1,8.834,8,0,6,2,6,6 + 2 = ?,3,8,5,1476989371485,VS_production,156
j15QeTGRQhThgAiuF84rPtnlk8c2,1,9.105,9,0,5,4,7,5 + 4 = ?,5,9,6,1476989371485,VS_production,157
j15QeTGRQhThgAiuF84rPtnlk8c2,1,9.805,15,0,9,6,10,9 + 6 = ?,11,15,8,1476989371485,VS_production,159
j15QeTGRQhThgAiuF84rPtnlk8c2,1,7.771,9,0,6,3,11,6 + 3 = ?,4,9,9,1476989371485,VS_production,160
j15QeTGRQhThgAiuF84rPtnlk8c2,1,5.151,7,0,5,2,12,5 + 2 = ?,2,7,10,1476989371485,VS_production,161
j15QeTGRQhThgAiuF84rPtnlk8c2,1,9.208,14,0,8,6,16,8 + 6 = ?,10,14,13,1476989371485,VS_production,164
j15QeTGRQhThgAiuF84rPtnlk8c2,1,7.997,9,0,6,3,17,6 + 3 = ?,4,9,14,1476989371485,VS_production,165
j15QeTGRQhThgAiuF84rPtnlk8c2,0,3.653,5,0,2,7,0,2 + ? = 9,4,9,1,1476988923515,SP_missing_timed,216
j15QeTGRQhThgAiuF84rPtnlk8c2,0,3.55,no_answer,0,5,9,0,5 + ? = 14,10,14,4,1476988923515,SP_missing_timed,219
j15QeTGRQhThgAiuF84rPtnlk8c2,1,3.835,9,0,5,9,1,5 + ? = 14,10,14,6,1476988923515,SP_missing_timed,221
j15QeTGRQhThgAiuF84rPtnlk8c2,1,3.717,3,0,2,3,2,2 + ? = 5,1,5,7,1476988923515,SP_missing_timed,222
j15QeTGRQhThgAiuF84rPtnlk8c2,0,3.885,no_answer,0,8,9,1,8 + ? = 17,12,17,8,1476988923515,SP_missing_timed,223
j15QeTGRQhThgAiuF84rPtnlk8c2,0,3.535,no_answer,0,7,8,0,7 + ? = 15,11,15,12,1476988923515,SP_missing_timed,227
j15QeTGRQhThgAiuF84rPtnlk8c2,1,3.518,5,0,3,5,2,3 + ? = 8,3,8,14,1476988923515,SP_missing_timed,229
j15QeTGRQhThgAiuF84rPtnlk8c2,1,3.502,6,0,4,6,3,4 + ? = 10,6,10,15,1476988923515,SP_missing_timed,230
j15QeTGRQhThgAiuF84rPtnlk8c2,0,3.552,no_answer,0,4,8,2,4 + ? = 12,8,12,16,1476988923515,SP_missing_timed,231
j15QeTGRQhThgAiuF84rPtnlk8c2,0,3.984,no_answer,0,6,7,2,6 + ? = 13,9,13,18,1476988923515,SP_missing_timed,233
j15QeTGRQhThgAiuF84rPtnlk8c2,1,2.184,9,0,3,9,1,3 + ? = 12,7,12,23,1476988923515,SP_missing_timed,238
j15QeTGRQhThgAiuF84rPtnlk8c2,0,3.536,no_answer,0,3,4,0,3 + ? = 7,2,7,24,1476988923515,SP_missing_timed,239
j15QeTGRQhThgAiuF84rPtnlk8c2,1,2.348,4,0,3,4,1,3 + ? = 7,2,7,26,1476988923515,SP_missing_timed,241
j15QeTGRQhThgAiuF84rPtnlk8c2,0,3.468,no_answer,0,5,9,1,5 + ? = 14,10,14,28,1476988923515,SP_missing_timed,243
j15QeTGRQhThgAiuF84rPtnlk8c2,1,1.792,9,0,5,9,1,5 + ? = 14,10,14,30,1476988923515,SP_missing_timed,245
j15QeTGRQhThgAiuF84rPtnlk8c2,1,2.95,3,0,2,3,2,2 + ? = 5,1,5,31,1476988923515,SP_missing_timed,246
j15QeTGRQhThgAiuF84rPtnlk8c2,1,2.911,6,0,4,6,2,4 + ? = 10,6,10,33,1476988923515,SP_missing_timed,248
j15QeTGRQhThgAiuF84rPtnlk8c2,1,3.145,8,0,4,8,4,4 + ? = 12,8,12,35,1476988923515,SP_missing_timed,250
j15QeTGRQhThgAiuF84rPtnlk8c2,0,3.552,no_answer,0,6,7,2,6 + ? = 13,9,13,39,1476988923515,SP_missing_timed,254
